trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
266,False,"{'a': 0.5, 'e': 0.09028011281045102}",20,11,9.350962136217477,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.08946759179515697}",25,11,22.854567738053397,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.08866238346900056}",20,7,18.400675637127215,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.08786442201777955}",20,7,-18.525623800262686,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
270,False,"{'a': 0.5, 'e': 0.08707364221961954}",20,13,9.893048770024512,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.08628997943964296}",25,19,10.041079949590884,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.08551336962468617}",20,0,-27.984481843099864,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
273,False,"{'a': 0.5, 'e': 0.084743749298064}",25,4,28.257902091118847,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.08398105555438141}",20,13,14.203677110847,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.08322522605439198}",20,0,20.360393015677488,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
276,False,"{'a': 0.5, 'e': 0.08247619901990245}",20,0,-17.458157625788207,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
277,False,"{'a': 0.5, 'e': 0.08173391322872334}",25,10,-51.246317700405726,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
278,False,"{'a': 0.5, 'e': 0.08099830800966483}",25,16,18.001396172042682,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.08026932323757785}",30,16,15.3673318520448,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.07954689932843965}",20,7,10.651285048448818,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.07883097723448369}",25,8,18.47160065033117,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.07812149843937334}",25,14,-42.33868543647521,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
283,False,"{'a': 0.5, 'e': 0.07741840495341898}",30,11,-6.21245697390593,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
284,False,"{'a': 0.5, 'e': 0.07672163930883821}",20,6,19.246782545501496,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.07603114455505867}",20,7,12.623571200932174,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.07534686425406315}",20,6,23.244436695356292,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.07466874247577658}",35,6,41.36959220803069,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.07399672379349459}",35,18,29.66284637704228,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
